state,place_name,fips_place,total_units,sf_1unit_units,duplex_units,mf_3plus_units
ME,Bradley town,06680,4,4,0,0
ME,Bremen town,06855,4,4,0,0
ME,Brewer,06925,0,0,0,0
ME,Bridgton town,07170,57,47,10,0
ME,Bristol town,07485,15,15,0,0
ME,Brownfield town,08150,3,3,0,0
ME,Brownville town,08325,4,4,0,0
ME,Brunswick town,08430,120,53,0,67
ME,Buckfield town,08710,15,15,0,0
ME,Bucksport town,08815,9,9,0,0
ME,Burlington town,09200,13,13,0,0
ME,Buxton town,09410,27,27,0,0
ME,Byron town,09550,0,0,0,0
ME,Calais,09585,2,2,0,0
ME,Cambridge town,09655,3,3,0,0
ME,Camden town,09725,11,11,0,0
ME,Canton town,10005,2,2,0,0
ME,Cape Elizabeth town,10180,47,29,0,18
ME,Caratunk town,10495,0,0,0,0
ME,Caribou,10565,6,4,2,0
ME,Carmel town,10670,9,9,0,0
ME,Carrabassett Valley town,10740,30,30,0,0
ME,Casco town,11125,33,33,0,0
ME,Castine town,11265,1,1,0,0
ME,Castle Hill town,11300,1,1,0,0
ME,Caswell town,11335,0,0,0,0
ME,Chapman town,12000,2,2,0,0
ME,Charleston town,12105,5,5,0,0
ME,Chebeague Island town,12300,5,5,0,0
ME,Chelsea town,12350,4,4,0,0
ME,Cherryfield town,12455,0,0,0,0
ME,Chesterville town,12595,7,7,0,0
ME,China town,12735,24,24,0,0
ME,Clifton town,13365,3,3,0,0
ME,Clinton town,13470,2,2,0,0
ME,Columbia Falls town,13820,0,0,0,0
ME,Cooper town,14100,0,0,0,0
ME,Corinna town,14310,3,3,0,0
ME,Corinth town,14380,24,24,0,0
ME,Cornish town,14485,9,9,0,0
ME,Cornville town,14555,5,5,0,0
ME,Cranberry Isles town,14905,0,0,0,0
ME,Crawford town,14940,0,0,0,0
ME,Cumberland town,15430,21,21,0,0
ME,Cutler town,15920,7,7,0,0
ME,Danforth town,16410,1,1,0,0
ME,Dayton town,16725,5,5,0,0
ME,Deblois town,16865,0,0,0,0
ME,Dedham town,16935,13,13,0,0
ME,Deer Isle town,17145,0,0,0,0
ME,Denmark town,17250,19,19,0,0
ME,Dennysville town,17355,1,1,0,0
ME,Detroit town,17460,3,3,0,0
ME,Dexter town,17530,5,3,2,0
ME,Dixfield town,17740,52,52,0,0
ME,Dixmont town,17950,0,0,0,0
ME,Dover-Foxcroft town,18195,0,0,0,0
ME,Dresden town,18475,3,3,0,0
ME,Durham town,19105,17,17,0,0
ME,Dyer Brook town,19210,0,0,0,0
ME,East Machias town,20960,6,6,0,0
ME,East Millinocket town,21030,0,0,0,0
ME,Eastbrook town,19770,2,2,0,0
ME,Eastport,21730,7,7,0,0
ME,Eddington town,22535,6,6,0,0
ME,Edgecomb town,22675,4,4,0,0
ME,Eliot town,22955,95,32,0,63
ME,Ellsworth,23200,29,27,2,0
ME,Embden town,23410,7,7,0,0
ME,Enfield town,23620,0,0,0,0
ME,Eustis town,24005,5,5,0,0
ME,Exeter town,24110,3,3,0,0
ME,Fairfield town,24320,6,6,0,0
ME,Falmouth town,24495,30,28,2,0
